,saltfront_obs,saltfront_pred,train/val
2001-01-01,,69.00644,Training
2001-01-02,,69.84852,Training
2001-01-03,,70.30472,Training
2001-01-04,,70.86063,Training
2001-01-05,,71.62143,Training
2001-01-06,,72.80922,Training
2001-01-07,,73.39172,Training
2001-01-08,,74.07213,Training
2001-01-09,,74.22931,Training
2001-01-10,,74.3625,Training
2001-01-11,,74.355125,Training
2001-01-12,,74.278656,Training
2001-01-13,,75.02086,Training
2001-01-14,,75.83645,Training
2001-01-15,,76.5461,Training
2001-01-16,,77.03971,Training
2001-01-17,,77.09509,Training
2001-01-18,,76.574875,Training
2001-01-19,,76.45965,Training
2001-01-20,,75.5656,Training
2001-01-21,,75.18718,Training
2001-01-22,,74.8176,Training
2001-01-23,,74.84843,Training
2001-01-24,,75.0071,Training
2001-01-25,,75.63919,Training
2001-01-26,,75.776634,Training
2001-01-27,,76.14964,Training
2001-01-28,,76.248985,Training
2001-01-29,,75.85852,Training
2001-01-30,,75.78002,Training
2001-01-31,,75.40922,Training
2001-02-01,,74.563736,Training
2001-02-02,,74.038895,Training
2001-02-03,,73.69614,Training
2001-02-04,,73.20602,Training
2001-02-05,,74.00474,Training
2001-02-06,,73.87989,Training
2001-02-07,,73.1612,Training
2001-02-08,,71.58801,Training
2001-02-09,,70.9673,Training
2001-02-10,,71.39407,Training
2001-02-11,,71.37573,Training
2001-02-12,,71.10568,Training
2001-02-13,,72.0145,Training
2001-02-14,,71.59382,Training
2001-02-15,,71.53144,Training
2001-02-16,,71.32117,Training
2001-02-17,,71.71235,Training
2001-02-18,,71.17659,Training
2001-02-19,,70.48658,Training
2001-02-20,,70.08246,Training
2001-02-21,,70.3019,Training
2001-02-22,,70.00885,Training
2001-02-23,,71.008446,Training
2001-02-24,,70.28478,Training
2001-02-25,,69.872284,Training
2001-02-26,,70.12314,Training
2001-02-27,,69.87543,Training
2001-02-28,,69.43998,Training
2001-03-01,,69.1593,Training
2001-03-02,,69.044876,Training
2001-03-03,,69.04998,Training
2001-03-04,,69.410805,Training
2001-03-05,,70.36473,Training
2001-03-06,,70.89677,Training
2001-03-07,,70.99441,Training
2001-03-08,,70.99719,Training
2001-03-09,,71.027794,Training
2001-03-10,,71.09069,Training
2001-03-11,,70.81181,Training
2001-03-12,,70.58996,Training
2001-03-13,,70.935455,Training
2001-03-14,,70.46719,Training
2001-03-15,,70.23264,Training
2001-03-16,,69.82606,Training
2001-03-17,,69.347015,Training
2001-03-18,,68.88957,Training
2001-03-19,,68.38811,Training
2001-03-20,,67.73805,Training
2001-03-21,,67.69863,Training
2001-03-22,,68.008446,Training
2001-03-23,,67.27864,Training
2001-03-24,,66.50941,Training
2001-03-25,,65.646164,Training
2001-03-26,,64.65323,Training
2001-03-27,,64.20936,Training
2001-03-28,,63.199696,Training
2001-03-29,,62.300858,Training
2001-03-30,,62.062916,Training
2001-03-31,,60.491875,Training
2001-04-01,,59.592693,Training
2001-04-02,,58.887306,Training
2001-04-03,60.65286,58.491024,Training
2001-04-04,58.81143,58.614754,Training
2001-04-05,56.611427,58.812923,Training
2001-04-06,,59.261963,Training
2001-04-07,,59.727978,Training
2001-04-08,,59.47826,Training
2001-04-09,,59.099228,Training
2001-04-10,,58.956852,Training
2001-04-11,,58.76515,Training
2001-04-12,,58.297577,Training
2001-04-13,,58.056183,Training
2001-04-14,,57.653152,Training
2001-04-15,,57.715984,Training
2001-04-16,,57.33242,Training
2001-04-17,,57.43019,Training
2001-04-18,,58.435917,Training
2001-04-19,,58.71926,Training
2001-04-20,54.507145,59.270584,Training
2001-04-21,58.89286,59.79792,Training
2001-04-22,62.855717,60.925583,Training
2001-04-23,64.41572,60.918617,Training
2001-04-24,65.44429,62.491154,Training
2001-04-25,65.50429,62.31102,Training
2001-04-26,65.30286,62.681004,Training
2001-04-27,65.23286,63.55553,Training
2001-04-28,65.11143,63.306023,Training
2001-04-29,65.01572,62.69067,Training
2001-04-30,65.16143,62.59547,Training
2001-05-01,65.14429,62.47584,Training
2001-05-02,65.24571,63.081856,Training
2001-05-03,65.19143,63.347084,Training
2001-05-04,65.03429,64.00014,Training
2001-05-05,64.994286,64.70556,Training
2001-05-06,65.13286,64.962585,Training
2001-05-07,65.274284,65.59825,Training
2001-05-08,65.44429,65.80867,Training
2001-05-09,65.56286,66.152855,Training
2001-05-10,65.74857,66.48404,Training
2001-05-11,65.96429,66.4898,Training
2001-05-12,66.19,66.50458,Training
2001-05-13,66.27286,66.67879,Training
2001-05-14,66.46571,66.87639,Training
2001-05-15,66.83,67.1113,Training
2001-05-16,67.29714,67.43661,Training
2001-05-17,67.81572,67.878716,Training
2001-05-18,68.30857,68.21762,Training
2001-05-19,68.76143,68.355,Training
2001-05-20,69.20572,69.086494,Training
2001-05-21,69.48286,69.48279,Training
2001-05-22,69.66428,69.58364,Training
2001-05-23,69.71715,69.56775,Training
2001-05-24,69.737144,69.69076,Training
2001-05-25,69.75714,69.73896,Training
2001-05-26,69.774284,69.69845,Training
2001-05-27,69.63572,69.27984,Training
2001-05-28,69.46,68.83816,Training
2001-05-29,69.26143,68.569305,Training
2001-05-30,69.07,68.24606,Training
2001-05-31,68.807144,68.10799,Training
2001-06-01,68.55,68.16125,Training
2001-06-02,68.26429,67.94019,Training
2001-06-03,68.07143,67.852356,Training
2001-06-04,67.814285,67.90855,Training
2001-06-05,67.57429,67.90885,Training
2001-06-06,67.31143,67.884926,Training
2001-06-07,67.115715,67.65586,Training
2001-06-08,66.93429,67.58918,Training
2001-06-09,66.82,67.52927,Training
2001-06-10,66.78571,67.49015,Training
2001-06-11,66.865715,67.60958,Training
2001-06-12,66.92715,67.47536,Training
2001-06-13,67.094284,67.627,Training
2001-06-14,67.258575,67.7731,Training
2001-06-15,67.41143,67.65242,Training
2001-06-16,67.58,67.76326,Training
2001-06-17,67.468575,67.146706,Training
2001-06-18,67.28143,67.301094,Training
2001-06-19,67.14,67.50978,Training
2001-06-20,66.86286,67.24853,Training
2001-06-21,66.512856,67.299576,Training
2001-06-22,66.26714,67.24525,Training
2001-06-23,66.01857,66.90455,Training
2001-06-24,65.84286,66.41408,Training
2001-06-25,65.70857,65.90924,Training
2001-06-26,65.557144,65.542145,Training
2001-06-27,65.435715,65.38206,Training
2001-06-28,65.33429,65.163994,Training
2001-06-29,65.25143,65.24491,Training
2001-06-30,65.207146,65.320984,Training
2001-07-01,65.27286,65.49045,Training
2001-07-02,65.30857,65.99776,Training
2001-07-03,65.54143,65.988976,Training
2001-07-04,65.79429,66.264786,Training
2001-07-05,66.08429,66.56883,Training
2001-07-06,66.277145,66.962524,Training
2001-07-07,66.46,67.18103,Training
2001-07-08,66.700005,67.17595,Training
2001-07-09,66.93286,67.23682,Training
2001-07-10,67.038574,67.34716,Training
2001-07-11,67.16572,67.3894,Training
2001-07-12,67.36286,67.49298,Training
2001-07-13,67.615715,67.48176,Training
2001-07-14,67.88572,67.495575,Training
2001-07-15,68.21715,67.58943,Training
2001-07-16,68.60429,67.866295,Training
2001-07-17,68.935715,68.3654,Training
2001-07-18,69.262856,69.07487,Training
2001-07-19,69.538574,69.62169,Training
2001-07-20,69.788574,69.8601,Training
2001-07-21,69.94714,70.04583,Training
2001-07-22,70.04858,70.06914,Training
2001-07-23,70.13143,70.03025,Training
2001-07-24,70.23286,69.94027,Training
2001-07-25,70.307144,70.01006,Training
2001-07-26,70.328575,70.46056,Training
2001-07-27,70.38143,69.960144,Training
2001-07-28,70.457146,69.98025,Training
2001-07-29,70.54286,69.77744,Training
2001-07-30,70.667145,69.930305,Training
2001-07-31,70.82714,70.10062,Training
2001-08-01,71.02143,70.11288,Training
2001-08-02,71.26429,70.02398,Training
2001-08-03,71.42571,70.01601,Training
2001-08-04,71.56143,70.28402,Training
2001-08-05,71.73143,70.376724,Training
2001-08-06,71.85,70.388145,Training
2001-08-07,71.87857,70.643364,Training
2001-08-08,71.91428,70.75677,Training
2001-08-09,71.99715,70.94425,Training
2001-08-10,72.07429,71.31703,Training
2001-08-11,72.082855,71.25034,Training
