datetime,Daily_salt_front,7_day_salt_front
1/1/2015,69.36,69.90285714
1/2/2015,68.8,69.70571429
1/3/2015,69.04,69.53714286
1/4/2015,69.82,69.49428571
1/5/2015,68.15,69.25
1/6/2015,67.24,68.88
1/7/2015,68.02,68.63285714
1/8/2015,67.73,68.4
1/9/2015,69.36,68.48
1/10/2015,67.82,68.30571429
1/11/2015,69.35,68.23857143
1/12/2015,70.56,68.58285714
1/13/2015,73.45,69.47
1/14/2015,72.14,70.05857143
1/15/2015,72.13,70.68714286
1/16/2015,71.72,71.02428571
1/17/2015,71.27,71.51714286
1/18/2015,74.13,72.2
1/19/2015,72.36,72.45714286
1/20/2015,71.11,72.12285714
1/21/2015,70.91,71.94714286
1/22/2015,71.08,71.79714286
1/23/2015,70.98,71.69142857
1/24/2015,74.12,72.09857143
1/25/2015,73.79,72.05
1/26/2015,72.88,72.12428571
1/27/2015,73.59,72.47857143
1/28/2015,73.39,72.83285714
1/29/2015,73.11,73.12285714
1/30/2015,73.09,73.42428571
1/31/2015,72.73,73.22571429
2/1/2015,73.04,73.11857143
2/2/2015,76.73,73.66857143
2/3/2015,76.54,74.09
2/4/2015,74.68,74.27428571
2/5/2015,74.1,74.41571429
2/6/2015,74.44,74.60857143
2/7/2015,74.33,74.83714286
2/8/2015,74.49,75.04428571
2/9/2015,74.87,74.77857143
2/10/2015,75.31,74.60285714
2/11/2015,75.71,74.75
2/12/2015,76,75.02142857
2/13/2015,76,75.24428571
2/14/2015,76.35,75.53285714
2/15/2015,75.99,75.74714286
2/16/2015,76.79,76.02142857
2/17/2015,77.02,76.26571429
2/18/2015,77.57,76.53142857
2/19/2015,77.61,76.76142857
2/20/2015,77.51,76.97714286
2/21/2015,77.69,77.16857143
2/22/2015,78.99,77.59714286
2/23/2015,79.61,78
2/24/2015,79.32,78.32857143
2/25/2015,79.65,78.62571429
2/26/2015,79.42,78.88428571
2/27/2015,79.35,79.14714286
2/28/2015,78.84,79.31142857
3/1/2015,79.05,79.32
3/2/2015,81.53,79.59428571
3/3/2015,81.54,79.91142857
3/4/2015,82.25,80.28285714
3/5/2015,80.27,80.40428571
3/6/2015,79.42,80.41428571
3/7/2015,79.22,80.46857143
3/8/2015,79.52,80.53571429
3/9/2015,80.13,80.33571429
3/10/2015,79.12,79.99
3/11/2015,77.98,79.38
3/12/2015,77.6,78.99857143
3/13/2015,77.38,78.70714286
3/14/2015,76.18,78.27285714
3/15/2015,73.94,77.47571429
3/16/2015,73.21,76.48714286
3/17/2015,73.5,75.68428571
3/18/2015,71.49,74.75714286
3/19/2015,70.11,73.68714286
3/20/2015,70.2,72.66142857
3/21/2015,71.49,71.99142857
3/22/2015,71.18,71.59714286
3/23/2015,68.68,70.95
3/24/2015,66.93,70.01142857
3/25/2015,67.63,69.46
3/26/2015,67.88,69.14142857
3/27/2015,68.32,68.87285714
3/28/2015,69.3,68.56
3/29/2015,71.09,68.54714286
3/30/2015,71.92,69.01
3/31/2015,71.62,69.68
4/1/2015,71.83,70.28
4/2/2015,71.56,70.80571429
4/3/2015,70.73,71.15
4/4/2015,69.79,71.22
4/5/2015,69.98,71.06142857
4/6/2015,68.28,70.54142857
4/7/2015,66.89,69.86571429
4/8/2015,66.7,69.13285714
4/9/2015,67.87,68.60571429
4/10/2015,67.48,68.14142857
4/11/2015,64.32,67.36
4/12/2015,61.91,66.20714286
4/13/2015,61.43,65.22857143
4/14/2015,60.61,64.33142857
4/15/2015,60.3,63.41714286
4/16/2015,59.99,62.29142857
4/17/2015,60.88,61.34857143
4/18/2015,60.32,60.77714286
4/19/2015,60.88,60.63
4/20/2015,62.94,60.84571429
4/21/2015,61.53,60.97714286
4/22/2015,60.15,60.95571429
4/23/2015,55.1,60.25714286
4/24/2015,52.41,59.04714286
4/25/2015,61.57,59.22571429
4/26/2015,63.67,59.62428571
4/27/2015,65.59,60.00285714
4/28/2015,67.01,60.78571429
4/29/2015,68.85,62.02857143
4/30/2015,69.08,64.02571429
5/1/2015,69.44,66.45857143
5/2/2015,69.95,67.65571429
5/3/2015,69.57,68.49857143
5/4/2015,69.23,69.01857143
5/5/2015,69.05,69.31
5/6/2015,68.76,69.29714286
5/7/2015,68.9,69.27142857
5/8/2015,68.83,69.18428571
5/9/2015,68.74,69.01142857
5/10/2015,68.91,68.91714286
5/11/2015,68.77,68.85142857
5/12/2015,69.02,68.84714286
5/13/2015,68.75,68.84571429
5/14/2015,69.41,68.91857143
5/15/2015,69.79,69.05571429
5/16/2015,69.77,69.20285714
5/17/2015,69.84,69.33571429
5/18/2015,69.8,69.48285714
5/19/2015,70.26,69.66
5/20/2015,70.27,69.87714286
5/21/2015,70.16,69.98428571
5/22/2015,70.41,70.07285714
5/23/2015,70.5,70.17714286
5/24/2015,70.59,70.28428571
5/25/2015,70.36,70.36428571
5/26/2015,70.62,70.41571429
5/27/2015,70.65,70.47
5/28/2015,70.33,70.49428571
5/29/2015,70.32,70.48142857
5/30/2015,70.61,70.49714286
5/31/2015,70.78,70.52428571
6/1/2015,70.83,70.59142857
6/2/2015,70.36,70.55428571
6/3/2015,70.77,70.57142857
6/4/2015,70.61,70.61142857
6/5/2015,70.72,70.66857143
6/6/2015,70.73,70.68571429
6/7/2015,70.72,70.67714286
6/8/2015,70.63,70.64857143
6/9/2015,70.13,70.61571429
6/10/2015,69.61,70.45
6/11/2015,69.72,70.32285714
