datetime,Trenton_discharge,Trenton_specificconductance,Schuylkill_discharge,Schuylkill_specificconductance
2015-01-01,9813.020833,159.5833333,2409.375,
2015-01-02,8585.520833,164.4583333,2173.125,
2015-01-03,7626.666667,172.6666667,2094.791667,
2015-01-04,9917.8125,187,3959.791667,
2015-01-05,10120.20833,210.9583333,4387.083333,
2015-01-06,11498.95833,224.0833333,3276.666667,
2015-01-07,11844.0625,190.3181818,2570.833333,
2015-01-08,10125,190.173913,1747.916667,
2015-01-09,,203.6666667,1823.125,
2015-01-10,,217.7083333,1837.916667,
2015-01-11,,228.625,1585,
2015-01-12,,221.3043478,2071.875,
2015-01-13,,218.6666667,3181.041667,
2015-01-14,,256.2916667,2532.083333,
2015-01-15,,262,2066.875,
2015-01-16,,235.2083333,1837.291667,
2015-01-17,,232.5,1604.166667,
2015-01-18,,231.7083333,3965.625,
2015-01-19,,223.4583333,5145.416667,
2015-01-20,,279.4166667,2385.416667,
2015-01-21,,309.0833333,1954.583333,
2015-01-22,,277.1666667,1796.666667,
2015-01-23,,260.0869565,1685.833333,
2015-01-24,,257.2272727,1831.041667,
2015-01-25,,266.7083333,1944.166667,
2015-01-26,,275.2380952,1976.25,
2015-01-27,,279.0416667,1875.833333,
2015-01-28,,289.2380952,1711.666667,
2015-01-29,,296.875,1428.333333,
2015-01-30,,,1522.916667,
2015-01-31,,,1307.708333,
2015-02-01,,,1322.5,
2015-02-02,,,2807.916667,
2015-02-03,,,3956.041667,
2015-02-04,,,2521.25,
2015-02-05,,340.173913,2127.708333,
2015-02-06,,353.4583333,1651.666667,
2015-02-07,,318.7916667,1470,
2015-02-08,,293.0833333,1466.666667,
2015-02-09,,287.5,1473.333333,
2015-02-10,,292.625,1450.208333,
2015-02-11,,289.7916667,1483.541667,
2015-02-12,,,1460.833333,
2015-02-13,,,1316.875,
2015-02-14,,307.375,1122.625,
2015-02-15,,298.75,910.7708333,
2015-02-16,,303.125,765.9791667,
2015-02-17,,301.0416667,1019.104167,
2015-02-18,,293.7916667,1138.125,
2015-02-19,,298.125,1148,
2015-02-20,,298.8333333,912.5,
2015-02-21,,290.625,855.8958333,
2015-02-22,,284.9583333,1016.6875,
2015-02-23,,277.9166667,1341.25,
2015-02-24,,284.173913,1077.583333,
2015-02-25,,301.2916667,1117.875,
2015-02-26,,320.2916667,1044.625,
2015-02-27,,305.0416667,978.1458333,
2015-02-28,,282.2083333,861.6875,
2015-03-01,,283.625,916.4375,
2015-03-02,,286.7083333,1108.791667,
2015-03-03,,283.2083333,1244.791667,
2015-03-04,,298.75,1915.416667,
2015-03-05,,333.7083333,5505.833333,
2015-03-06,,385.7083333,3330.208333,
2015-03-07,,417,2412.5,
2015-03-08,,448.3478261,2155.434783,
2015-03-09,,418.125,3008.75,
2015-03-10,,386.7083333,5043.541667,
2015-03-11,,348.4166667,12778.75,
2015-03-12,,334.8333333,14789.58333,
2015-03-13,,335.7083333,12297.70833,
2015-03-14,16729.16667,304,14213.54167,
2015-03-15,23430.20833,277,17156.25,
2015-03-16,19087.5,279.7083333,11488.54167,
2015-03-17,18535.41667,278.125,9772.708333,
2015-03-18,20220.83333,266.1666667,9182.291667,
2015-03-19,18889.58333,260.0416667,7215.625,
2015-03-20,17530.20833,250.7916667,5835.625,
2015-03-21,15607.29167,248.8333333,5316.875,
2015-03-22,14535.41667,262.6666667,5728.541667,
2015-03-23,13998.95833,265.875,5623.541667,
2015-03-24,12398.95833,263.0833333,4426.666667,
2015-03-25,11520.83333,258.6190476,3773.541667,
2015-03-26,10963.54167,257.6666667,3525.416667,
2015-03-27,16387.5,249,9624.791667,
2015-03-28,16248.95833,257.875,7082.5,
2015-03-29,15253.125,250.7083333,4768.125,
2015-03-30,13777.08333,239.8333333,4036.041667,
2015-03-31,12646.875,239.8333333,3656.458333,
2015-04-01,12868.75,238.4166667,3426.666667,
2015-04-02,12754.16667,237.7916667,3122.291667,
2015-04-03,12508.33333,235.5833333,2791.666667,
2015-04-04,16872.91667,228.25,2805.416667,
2015-04-05,31403.125,179.875,2921.875,
2015-04-06,31742.70833,,2697.083333,
2015-04-07,26444.79167,142.3333333,2479.166667,
2015-04-08,25136.45833,147.7916667,2410.416667,
2015-04-09,28060.41667,147.5833333,2444.791667,
2015-04-10,30810.41667,131.7916667,2326.041667,
2015-04-11,31489.58333,130.8333333,2319.791667,
2015-04-12,33157.29167,,2230.833333,
2015-04-13,25452.08333,,2021.875,
2015-04-14,21006.25,137.5,1939.375,
2015-04-15,19081.25,145.826087,1903.75,
2015-04-16,17593.75,,1835.625,
2015-04-17,14825,158.6666667,1740.833333,
2015-04-18,13191.66667,166.7916667,1742.5,
2015-04-19,12095.83333,175.125,1690.833333,
2015-04-20,13395.83333,179.9583333,3651.041667,
2015-04-21,15596.875,197.0869565,5564.375,
2015-04-22,19184.375,205.2916667,6288.541667,
2015-04-23,23778.125,171.173913,5230.625,
2015-04-24,20277.08333,158.8181818,4315.416667,
2015-04-25,17131.25,163.6666667,3573.125,
2015-04-26,14366.66667,171.2857143,3157.5,
2015-04-27,12859.375,180.9047619,2860.416667,
2015-04-28,11867.70833,188.6,2619.791667,
2015-04-29,11325,192.6521739,2397.916667,
2015-04-30,10638.125,193.2941176,2234.166667,
2015-05-01,9578.020833,,2097.5,
2015-05-02,8889.270833,,1943.75,
2015-05-03,8408.125,210.75,1859.375,
2015-05-04,7797.083333,214.5,1734.166667,
2015-05-05,7295.208333,221.9583333,1628.333333,
2015-05-06,7003.125,227.75,1553.333333,
2015-05-07,6723.854167,229.6521739,1549.166667,
2015-05-08,6251.770833,234.0416667,1469.375,
2015-05-09,6093.854167,242.7916667,1405,
2015-05-10,5990.833333,245.3333333,1314.791667,
2015-05-11,5721.5625,246.3333333,1277.083333,
2015-05-12,5272.916667,249.0416667,1206.875,
2015-05-13,5096.25,,1101.5,
2015-05-14,4938.75,256.2173913,1023.875,
2015-05-15,4486.354167,259.0833333,985.5208333,
2015-05-16,4178.75,263,950.9166667,
2015-05-17,4192.8125,270.875,1051.5625,
2015-05-18,4983.75,279.2916667,1104.291667,
2015-05-19,5039.270833,280.875,1078.083333,
2015-05-20,5817.708333,267.2916667,1224.166667,
2015-05-21,5248.75,251.25,1115.875,
2015-05-22,5162.5,248.5416667,1008.729167,
2015-05-23,4842.8125,245.7083333,868.9791667,
2015-05-24,4549.583333,247.9166667,803.6666667,
2015-05-25,4344.0625,252.0416667,742.375,
2015-05-26,3943.75,263.5416667,715.9583333,
2015-05-27,3644.479167,266.375,710.7916667,
2015-05-28,3705.625,263.875,838.2083333,
2015-05-29,4064.6875,267.5416667,953.375,
2015-05-30,4462.291667,275,835.1041667,
2015-05-31,4531.458333,262.6666667,691.0625,
2015-06-01,6093.229167,242.75,1764.166667,
2015-06-02,10482.91667,251.1666667,4537.916667,
2015-06-03,11885.20833,225.7083333,3771.666667,
2015-06-04,12283.33333,,3461.666667,
2015-06-05,10177.5,203.875,2617.291667,
2015-06-06,8408.4375,204.7916667,2091.666667,
2015-06-07,7480.833333,211.2083333,1778.541667,
2015-06-08,6176.354167,219.4347826,1566.041667,
2015-06-09,6996.25,228.25,3679.791667,
2015-06-10,8737.1875,242.7916667,3829.583333,
2015-06-11,9019.791667,230.0416667,2473.958333,
2015-06-12,8459.479167,211.7916667,1828.125,
2015-06-13,7483.958333,211.7916667,1823.541667,
2015-06-14,6693.020833,220.4166667,1572.5,
2015-06-15,8069.166667,225.4166667,1590.208333,
2015-06-16,11364.58333,219.0416667,1949.166667,
2015-06-17,11684.58333,219.5833333,1708.333333,
2015-06-18,12459.375,201.5833333,1771.458333,
2015-06-19,10825.625,195.1666667,1761.666667,
2015-06-20,8987.291667,197.0416667,1638.333333,
2015-06-21,9043.020833,205.2173913,2035,
2015-06-22,11610.41667,214.3333333,3170.833333,
2015-06-23,14937.5,197.625,2832.916667,
2015-06-24,15430.20833,169.5833333,2460.833333,
2015-06-25,12639.58333,172.5416667,2049.791667,
2015-06-26,10570.83333,180.0416667,1888.75,
2015-06-27,,186.75,4359.791667,
2015-06-28,,193.5,6962.916667,
2015-06-29,17065.625,204.875,5209.166667,
2015-06-30,17988.54167,177.0869565,3961.666667,
2015-07-01,28314.58333,166.875,5596.875,
2015-07-02,39853.125,126.5416667,8332.708333,
2015-07-03,34607.29167,123.25,5621.875,
2015-07-04,26839.58333,126.75,4161.875,
2015-07-05,22937.5,134.9166667,3576.25,
2015-07-06,21344.79167,,3229.791667,
2015-07-07,18835.41667,,2979.375,
2015-07-08,16483.33333,160.2083333,2701.458333,
2015-07-09,15237.5,164.75,2763.75,
2015-07-10,15259.375,,4241.041667,
2015-07-11,14709.375,,4780.208333,
2015-07-12,12781.25,177.2916667,3275.625,
2015-07-13,11187.5,181.625,2702.083333,
2015-07-14,9937.916667,188.5,2341.041667,
2015-07-15,10583.85417,196.2083333,4884.583333,
2015-07-16,11536.875,195.2222222,6091.041667,
2015-07-17,10052.08333,209.7083333,3363.541667,
2015-07-18,9584.583333,207.75,2501.875,
2015-07-19,9465.625,208.75,2308.958333,
2015-07-20,9045.833333,208.2083333,2123.333333,
2015-07-21,8521.666667,206,1795.833333,
2015-07-22,8522.708333,205.9166667,1591.875,
2015-07-23,7697.604167,204.5,1545.833333,
2015-07-24,7028.020833,208.2916667,1376.590909,
2015-07-25,6681.458333,212.7916667,1300.208333,
2015-07-26,6580.625,215.625,1198.75,
2015-07-27,7020.208333,217.0416667,1335.106383,
2015-07-28,11290.52083,212.7916667,1750,
2015-07-29,10690.41667,180.826087,1696.666667,
2015-07-30,9083.4375,173.7916667,1246.875,
2015-07-31,8532.291667,183.875,1496.041667,
2015-08-01,7480.729167,198.0416667,1290.833333,
2015-08-02,6880.729167,209.5416667,1067.270833,
2015-08-03,6482.1875,215.7916667,960.2916667,
2015-08-04,6171.770833,216.7826087,1048.041667,
2015-08-05,5983.229167,,1032.458333,
2015-08-06,5324.583333,221.1428571,1002.333333,
2015-08-07,4808.125,231.2083333,870.0208333,
2015-08-08,4327.291667,239.3333333,834.4791667,
2015-08-09,4074.166667,247.1304348,801.0208333,
2015-08-10,4163.541667,256.0416667,793.3541667,
2015-08-11,4333.4375,260.5833333,1086.854167,
2015-08-12,5992.916667,254.4166667,1538.75,
2015-08-13,6263.229167,255.7083333,1521.041667,
2015-08-14,6108.541667,233.9583333,1063.979167,
2015-08-15,5226.458333,224.1666667,894.75,
2015-08-16,4515.729167,228.7083333,760.5833333,
2015-08-17,4417.916667,240.3478261,727.6875,
2015-08-18,4332.604167,251.5,709.5208333,
2015-08-19,4043.333333,247.9583333,726.75,
2015-08-20,4140.833333,246.2608696,780.6666667,
2015-08-21,5463.020833,239.9583333,4076.104167,
2015-08-22,6774.0625,251.1666667,2835.833333,
2015-08-23,8209.0625,236.1666667,1932.708333,
2015-08-24,7340.625,206.0416667,1281.666667,
2015-08-25,6149.791667,199.2916667,1131.104167,
2015-08-26,5351.25,206.0416667,881.1875,
2015-08-27,4777.083333,213.7083333,804.3541667,
2015-08-28,4338.333333,228.5833333,735.0208333,
2015-08-29,3980,237.3333333,715.4166667,
2015-08-30,3956.458333,242.1666667,697.125,
2015-08-31,4161.458333,247.2916667,695.75,
2015-09-01,3984.166667,264.0416667,692.4375,
2015-09-02,3756.041667,244,706.9375,
2015-09-03,3751.5625,239.7083333,675.8333333,
2015-09-04,3716.458333,242.4166667,638.2083333,
2015-09-05,3641.041667,249.875,631.3333333,
2015-09-06,3450.9375,253.4583333,630.4166667,
2015-09-07,3658.020833,259.875,625.3958333,
2015-09-08,3423.645833,278.2380952,603.3541667,
2015-09-09,3180,263.5833333,589.1666667,
2015-09-10,3773.333333,247.9166667,1083.125,
2015-09-11,5594.6875,239.9583333,2820.625,
2015-09-12,5610,264.1666667,2159.791667,
2015-09-13,5582.395833,250.2083333,2522.291667,
2015-09-14,7640.729167,256.25,3020.625,
2015-09-15,6464.375,226.75,2001.875,
2015-09-16,5259.0625,229,1597.291667,
2015-09-17,4669.791667,237.0434783,1374.166667,
2015-09-18,4285,246.1666667,1206.916667,
2015-09-19,3869.479167,252.2916667,974.6458333,
2015-09-20,3619.479167,258.5,897.9375,
2015-09-21,3490.625,260.75,827.2916667,
2015-09-22,3806.5625,267.7916667,781.3333333,
2015-09-23,3497.1875,266,763.125,
2015-09-24,3361.979167,262.8333333,725.0625,
2015-09-25,3311.875,266.75,673.1458333,
2015-09-26,3289.583333,269.5833333,667.3125,
2015-09-27,,269.5833333,673.0416667,
2015-09-28,3274.166667,269.9166667,661.2083333,
2015-09-29,3476.458333,266.5416667,687.8958333,
2015-09-30,4919.166667,253.5217391,2536.875,
2015-10-01,8021.145833,258.0833333,2950.208333,
2015-10-02,8790.104167,219.1666667,3475.625,
2015-10-03,8442.291667,202,5040.208333,
2015-10-04,7547.5,202.9166667,3304.166667,
2015-10-05,6707.604167,219.5833333,2496.458333,
2015-10-06,5562.1875,230.9583333,1843.958333,
2015-10-07,4902.604167,235.7083333,1343.75,
2015-10-08,4436.041667,243.5833333,1158.125,
2015-10-09,4474.479167,252.875,1112.916667,
2015-10-10,5079.583333,253.9583333,1524.375,
2015-10-11,6072.604167,258.5,1321.041667,
2015-10-12,6016.041667,263.7916667,1136.875,
2015-10-13,5123.541667,222.25,1011.166667,
2015-10-14,4226.145833,218.8333333,932.1666667,
2015-10-15,3924.166667,221.875,875.375,
2015-10-16,3521.25,243.375,862.1458333,
2015-10-17,3361.354167,252.0416667,937.9375,
2015-10-18,3285.9375,258.7916667,915.6666667,
2015-10-19,3376.5625,267.5,881.0833333,
2015-10-20,3500.625,271.0833333,885.875,
2015-10-21,3454.895833,266.5217391,859.2291667,
2015-10-22,3463.4375,264.2916667,853.9166667,
2015-10-23,3380.520833,263.5,862.3125,
2015-10-24,3155.729167,262.625,886.8125,
2015-10-25,3093.4375,265.7916667,900.6458333,
2015-10-26,3110.9375,271.2916667,881.5,
2015-10-27,3250.3125,273.375,934.375,
2015-10-28,,273.8333333,1087.833333,
2015-10-29,,271.875,3907.5,
2015-10-30,16267.70833,249.875,6960.833333,
2015-10-31,20065.625,161.7083333,4225,
2015-11-01,13281,151,2884,
2015-11-02,10456.97917,159.6666667,2323.958333,
2015-11-03,8923.645833,167.125,1969.583333,
2015-11-04,8207.708333,174.1666667,1678.125,
2015-11-05,7117.916667,179.9166667,1503.541667,
2015-11-06,6333.541667,184.375,1370,
2015-11-07,5994.6875,193.375,1296.875,
2015-11-08,5710.416667,211.4166667,1243.125,
2015-11-09,5144.6875,220.7083333,1189.375,
2015-11-10,4773.854167,218.0416667,1213.125,
2015-11-11,4892.291667,222.125,1388.958333,
2015-11-12,5721.145833,226.2916667,1547.5,
2015-11-13,12765.20833,208,1467.708333,
2015-11-14,11860.41667,155.5416667,1308.958333,
2015-11-15,10642.60417,149.375,1151.458333,
2015-11-16,9108.333333,149.375,1030.4375,
2015-11-17,8049.479167,157.1666667,993.625,
2015-11-18,7282.395833,163.5416667,970.2916667,
2015-11-19,6926.979167,167.6666667,1362.145833,
2015-11-20,9237.1875,173.3333333,2449.583333,
2015-11-21,10775,192.0833333,2141.041667,
2015-11-22,12910.41667,171.875,1698.125,
2015-11-23,10769.0625,152.5,1468.75,
2015-11-24,9445.3125,156.2916667,1356.875,
2015-11-25,8992.5,158.1666667,1278.958333,
2015-11-26,8410.520833,157.9583333,1216.875,
2015-11-27,7566.25,163.8181818,1122.5,
2015-11-28,6738.541667,174.2083333,1085,
2015-11-29,6402.291667,182.8333333,1090.833333,
2015-11-30,6072.8125,189.125,1042.104167,
2015-12-01,6005,193.4583333,1246.520833,
2015-12-02,6764.895833,196.9583333,2018.958333,
2015-12-03,8814.166667,203.4583333,2712.916667,
2015-12-04,11412.5,199.2916667,2487.5,
2015-12-05,11771.875,175.9583333,1969.583333,
2015-12-06,10425.3125,169.2083333,1677.708333,
2015-12-07,8812.916667,174.0833333,1554.375,
2015-12-08,8435.520833,184.4583333,1515,
2015-12-09,7757.708333,183,1495.625,
2015-12-10,7572.5,185.173913,1377.5,
2015-12-11,7477.916667,189.125,1301.25,
2015-12-12,7158.854167,190.625,1196.25,
2015-12-13,6518.125,195.5,1148.125,
2015-12-14,6177.8125,203.7083333,1105.416667,
2015-12-15,6177.916667,207.625,1191.875,
2015-12-16,6759.583333,207.5652174,1305.625,
2015-12-17,7788.125,207.7083333,1872.916667,
2015-12-18,10611.77083,194.9583333,3426.25,
2015-12-19,10248.125,196.1666667,2118.125,
2015-12-20,9754.375,191.2916667,1630.208333,
2015-12-21,8874.583333,183.375,1436.458333,
2015-12-22,8095,183.3333333,1350.416667,
2015-12-23,8996.25,185.7083333,1652.083333,
2015-12-24,16130.20833,180.8333333,7147.291667,
2015-12-25,21091.66667,176.5833333,6285.416667,
2015-12-26,20227.08333,147.2083333,4968.333333,
2015-12-27,17117.70833,144.75,3857.291667,
2015-12-28,15854.16667,149.3333333,3507.708333,
2015-12-29,17917.70833,155.625,7437.083333,
2015-12-30,19657.29167,173.125,7607.916667,
2015-12-31,18088.54167,175.3333333,6235.208333,
2016-01-01,17200,171.9583333,5046.875,
2016-01-02,16666.66667,164.9166667,4001.458333,
2016-01-03,15290.625,166.3333333,3322.708333,
2016-01-04,13878.125,169.6666667,2951.458333,
2016-01-05,12711.45833,171.75,2613.75,
2016-01-06,11391.39785,172.4166667,2168.125,
2016-01-07,9700.833333,176.5833333,1955.833333,
2016-01-08,9498.854167,187.7727273,1890.833333,
2016-01-09,9364.0625,194.1666667,1868.333333,
2016-01-10,13672.5,186.25,5025.416667,
2016-01-11,20907.29167,184.9583333,8062.708333,
2016-01-12,28081.25,149.125,5668.958333,
2016-01-13,22527.08333,131.1666667,4227.916667,
2016-01-14,17782.29167,138.5833333,3456.041667,
2016-01-15,16352.08333,149,3037.083333,
2016-01-16,15108.33333,154.75,2981.041667,
2016-01-17,14930.20833,176.625,3203.958333,
2016-01-18,14550,176.125,2827.708333,
2016-01-19,13067.70833,169.0416667,2279.791667,
2016-01-20,11795.83333,,1928.333333,
2016-01-21,11337.5,179.6521739,2077.5,
2016-01-22,10667.5,184.8333333,1924.166667,
2016-01-23,,187.8333333,1672.708333,
2016-01-24,,193.0416667,1210.25,
2016-01-25,,202.875,1768.958333,
2016-01-26,,209.9166667,2184.166667,
2016-01-27,,213.2083333,2394.791667,
2016-01-28,,206.2916667,2195.833333,
2016-01-29,8749.270833,210.2083333,1867.291667,
2016-01-30,8164.479167,210.4166667,1683.333333,
2016-01-31,7686.5625,210.3333333,1628.125,
2016-02-01,6825.208333,209,1823.333333,
2016-02-02,7098.75,,2766.25,
2016-02-03,9732.8125,,4761.458333,
2016-02-04,27854.16667,209.9166667,22818.75,
2016-02-05,24754.16667,208.9130435,16195.83333,
2016-02-06,19390.625,197.4583333,10643.75,
2016-02-07,15302.08333,195.875,7727.083333,
2016-02-08,,202.3333333,6330.208333,
2016-02-09,,204.25,5334.166667,
2016-02-10,,206.75,4770.625,
2016-02-11,11141.66667,213.9583333,4124.166667,
2016-02-12,10306.04167,217.1304348,3373.333333,
2016-02-13,9344.270833,213.1666667,3001.666667,
2016-02-14,,222.2083333,2429.166667,
2016-02-15,,230.9583333,2317.291667,
2016-02-16,,239.8333333,7048.958333,
2016-02-17,25312.5,301.0833333,14060.41667,
2016-02-18,29319.79167,210.3478261,8479.791667,
2016-02-19,22975,169,6097.291667,
2016-02-20,17592.70833,175.6666667,4769.166667,
2016-02-21,15760.41667,176.7083333,4345.416667,
2016-02-22,15432.29167,177.5416667,4275.217391,
2016-02-23,14788.54167,178.4166667,4072.5,
2016-02-24,16413.54167,179.4583333,6266.666667,
2016-02-25,47173.95833,185.0454545,29200,
2016-02-26,66290.625,146.375,18087.5,
2016-02-27,49186.45833,127.8333333,11450.41667,
2016-02-28,35677.08333,139.8333333,8905.416667,
2016-02-29,29901.04167,150.5416667,7524.583333,
2016-03-01,26186.45833,155.0416667,6591.25,
2016-03-02,22894.79167,158.7083333,5995.625,
2016-03-03,19348.95833,168.2916667,4871.458333,
2016-03-04,17059.375,172.2083333,3779.791667,
2016-03-05,15463.54167,177.2083333,3552.5,
2016-03-06,14341.66667,182.8333333,3285.416667,
2016-03-07,13213.54167,186.25,3061.25,
2016-03-08,12513.54167,191.0416667,2947.5,
2016-03-09,12186.45833,191.4583333,2881.458333,
2016-03-10,11836.45833,,2712.916667,
2016-03-11,11242.70833,,2550.416667,
2016-03-12,11129.16667,,2409.791667,
2016-03-13,11427.17391,,2233.043478,
2016-03-14,11109.375,,3121.666667,
2016-03-15,10896.875,,3480.833333,
2016-03-16,10992.70833,207.25,2769.583333,
2016-03-17,10654.16667,201.0833333,2422.083333,
2016-03-18,10431.25,201,2232.708333,
2016-03-19,10400,199.0833333,2090.833333,
2016-03-20,9895.625,200.0416667,1955.833333,
2016-03-21,9190.208333,201.5833333,1914.166667,
2016-03-22,8563.854167,202,1825.833333,
2016-03-23,8167.291667,204.8333333,1761.458333,
2016-03-24,7794.895833,204.6666667,1668.958333,
2016-03-25,7205.416667,210.7916667,1646.041667,
2016-03-26,7131.666667,217.5,1644.375,
2016-03-27,6688.4375,219.1666667,1591.041667,
2016-03-28,6574.0625,222.0833333,1859.791667,
2016-03-29,6844.0625,226.375,2140,
2016-03-30,6906.979167,228.875,1847.916667,
2016-03-31,6938.854167,224.3333333,1619.166667,
2016-04-01,6754.6875,219.5833333,1518.125,
2016-04-02,6149.479167,220.9583333,1747.708333,
2016-04-03,5938.854167,228.625,1822.083333,
2016-04-04,5837.5,239.4583333,1606.666667,
2016-04-05,6018.4375,242.7916667,1565,
2016-04-06,6042.8125,238.375,1604.791667,
2016-04-07,6050.520833,235.875,1574.791667,
2016-04-08,6989.6875,238.875,2383.333333,
2016-04-09,11235.52083,238.4166667,3328.333333,
2016-04-10,15462.5,177.7916667,3141.041667,
2016-04-11,12784.375,162.75,2788.125,
2016-04-12,11363.54167,162.5,2808.541667,
2016-04-13,11412.5,170.0833333,2998.333333,
2016-04-14,11137.5,173.75,2514.375,
2016-04-15,10298.22917,171.5,2239.583333,
2016-04-16,9182.083333,176.5833333,2055,
2016-04-17,8519.166667,181.125,1905,
2016-04-18,8009.479167,184.8333333,1813.75,
2016-04-19,7378.958333,189.6666667,1745.208333,
2016-04-20,6955.9375,195.8333333,1712.083333,
2016-04-21,6578.333333,201.75,1620,
2016-04-22,6303.854167,205.2608696,1520,
2016-04-23,6184.375,213.0416667,1557.5,
2016-04-24,6020.520833,216.5,1528.333333,
2016-04-25,5704.791667,220.5,1438.125,
2016-04-26,5515.833333,222.8333333,1415.416667,
2016-04-27,5636.979167,224.2608696,1489.583333,
2016-04-28,5696.666667,229.3333333,1450,
2016-04-29,5712.5,231.25,1595,
2016-04-30,5542.916667,230.2916667,1583.541667,
2016-05-01,5389.166667,228.2916667,1634.375,
2016-05-02,5639.791667,230.75,1785.208333,
2016-05-03,7671.041667,230.5833333,4070.625,
2016-05-04,11181.875,220.375,3947.291667,
2016-05-05,14078.125,192.5,2984.583333,
2016-05-06,,169.875,5335.833333,
2016-05-07,,170.75,10400.83333,
2016-05-08,15806.25,170.2916667,5146.875,
2016-05-09,15979.16667,158.3333333,3927.708333,
2016-05-10,14034.375,159.2916667,3440,
2016-05-11,12905.20833,160.7083333,3092.708333,
2016-05-12,11438.54167,162.9583333,2821.041667,
2016-05-13,10286.04167,171.375,2535.833333,
2016-05-14,10253.75,176.375,2481.25,
2016-05-15,10878.125,179.75,2438.333333,
2016-05-16,10726.04167,176.2916667,2187.5,
2016-05-17,10130.625,169.0416667,1989.166667,
2016-05-18,9808.125,175.2608696,1820.833333,
2016-05-19,9141.354167,170.9166667,1796.875,
2016-05-20,8105.416667,178.7916667,1728.75,
2016-05-21,7657.8125,185.5,1673.75,
2016-05-22,7789.270833,187.875,2309.375,
2016-05-23,7115.208333,197.3333333,2000,
2016-05-24,6346.25,199.8333333,1855.833333,
2016-05-25,5987.708333,210.5416667,1708.958333,
2016-05-26,5630.833333,,1571.041667,
2016-05-27,5627.604167,217.7916667,1389.375,
2016-05-28,5529.583333,218.125,1302.916667,
2016-05-29,5269.375,220.2083333,1241.458333,
2016-05-30,6175.416667,220.9583333,1631.25,
2016-05-31,8559.166667,224.1666667,2050.625,
2016-06-01,7439.375,202.5833333,1878.333333,
2016-06-02,7209.0625,200.2083333,1702.291667,
